id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,singer_notoriety,mood_score,score
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.86,0.95,0.85
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.54,0.72,0.63
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.75,0.82,0.73
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.46,0.72,0.60
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.82,0.82,0.85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.41,0.72,0.50
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.48,0.68,0.57
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.86,0.58,0.71
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.54,0.70,0.62
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.69,0.95,0.83
11,Sunlit Strings,Aria Vale,classical,serene,0.22,66,0.74,0.31,0.95,0.35,0.75,0.45
12,Neon Drift,Pulse Harbor,house,energetic,0.88,128,0.61,0.91,0.15,0.63,0.88,0.84
13,Backbone Bass,Rhyme Atlas,hip hop,confident,0.79,96,0.52,0.84,0.09,0.78,0.78,0.81
14,Delta River,Juniper Lane,folk,nostalgic,0.34,84,0.67,0.57,0.74,0.39,0.64,0.56
15,Golden Hour Groove,Velvet Circuit,funk,playful,0.73,112,0.78,0.86,0.21,0.66,0.80,0.80
16,Blue Harbor,Marin Cross,blues,melancholy,0.41,74,0.46,0.49,0.63,0.50,0.52,0.50
17,Lotus Bloom,Earthtone Ensemble,world,reflective,0.46,88,0.69,0.55,0.58,0.43,0.60,0.54
18,Static Sky,Analog Tide,experimental,curious,0.57,102,0.43,0.47,0.39,0.44,0.57,0.49